"ID","Year","AMC","AMP","AXO","CHL","CIP","COT","FIS","FOX","GEN","NAL","TET","AZI","MER","SMX"
"07TN12GB06",2007,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"07TN12GB10",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA01GB01",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA01GB02",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA01GB03",2008,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"08GA01GB04",2008,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"08GA01GB05",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA01GB06",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA01GB08",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA01GB09",2008,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"08GA01GB10",2008,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"08GA02GB01",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA02GB03",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA02GB04",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA02GB05",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA02GB06",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA02GB08",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA02GB09",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA03GB01",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA03GB02",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA03GB05",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA03GB06",2008,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"08GA03GB07",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA03GB08",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA03GB10",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA04GB01",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA04GB02",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA04GB03",2008,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"08GA04GB04",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA04GB05",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA04GB06",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA04GB08",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA04GB09",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA04GB10",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA05GB01",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA05GB02",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA05GB03",2008,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA
"08GA05GB04",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA05GB05",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA05GB06",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA05GB07",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA05GB08",2008,0,0,0,0,0,0,1,0,0,0,1,NA,NA,NA
"08GA06GB01",2008,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"08GA06GB02",2008,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"08GA06GB04",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA06GB05",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA06GB06",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA06GB07",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA06GB08",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA06GB09",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA06GB10",2008,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"08GA07GB01",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA07GB02",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA07GB03",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA07GB04",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA07GB05",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA07GB06",2008,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"08GA07GB07",2008,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"08GA07GB08",2008,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA
